logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [19807040628566084398385987584.000000000, 39614081257132168796771975168.000000000] | Max ULP Error: 0.904044092
Interval [39614081257132168796771975168.000000000, 79228162514264337593543950336.000000000] | Max ULP Error: 0.716793716
Interval [79228162514264337593543950336.000000000, 158456325028528675187087900672.000000000] | Max ULP Error: 0.529543400
Interval [158456325028528675187087900672.000000000, 316912650057057350374175801344.000000000] | Max ULP Error: 0.668274999
Interval [316912650057057350374175801344.000000000, 633825300114114700748351602688.000000000] | Max ULP Error: 0.855525374
Interval [633825300114114700748351602688.000000000, 1267650600228229401496703205376.000000000] | Max ULP Error: 0.967037618
Interval [1267650600228229401496703205376.000000000, 2535301200456458802993406410752.000000000] | Max ULP Error: 0.779787242
Interval [2535301200456458802993406410752.000000000, 5070602400912917605986812821504.000000000] | Max ULP Error: 0.592536926
Interval [5070602400912917605986812821504.000000000, 10141204801825835211973625643008.000000000] | Max ULP Error: 0.604471207
Interval [10141204801825835211973625643008.000000000, 20282409603651670423947251286016.000000000] | Max ULP Error: 0.791721582
Interval [20282409603651670423947251286016.000000000, 40564819207303340847894502572032.000000000] | Max ULP Error: 1.031540513
Interval [40564819207303340847894502572032.000000000, 81129638414606681695789005144064.000000000] | Max ULP Error: 0.844290197
Interval [81129638414606681695789005144064.000000000, 162259276829213363391578010288128.000000000] | Max ULP Error: 0.657039881
Interval [162259276829213363391578010288128.000000000, 324518553658426726783156020576256.000000000] | Max ULP Error: 0.540778577
Interval [324518553658426726783156020576256.000000000, 649037107316853453566312041152512.000000000] | Max ULP Error: 0.728028893
Interval [649037107316853453566312041152512.000000000, 1298074214633706907132624082305024.000000000] | Max ULP Error: 0.915279269
Interval [1298074214633706907132624082305024.000000000, 2596148429267413814265248164610048.000000000] | Max ULP Error: 0.907283723
Interval [2596148429267413814265248164610048.000000000, 5192296858534827628530496329220096.000000000] | Max ULP Error: 0.720033348
Interval [5192296858534827628530496329220096.000000000, 10384593717069655257060992658440192.000000000] | Max ULP Error: 0.532783031
Interval [10384593717069655257060992658440192.000000000, 20769187434139310514121985316880384.000000000] | Max ULP Error: 0.664225101
Interval [20769187434139310514121985316880384.000000000, 41538374868278621028243970633760768.000000000] | Max ULP Error: 0.851475477
Interval [41538374868278621028243970633760768.000000000, 83076749736557242056487941267521536.000000000] | Max ULP Error: 0.971786678
Interval [83076749736557242056487941267521536.000000000, 166153499473114484112975882535043072.000000000] | Max ULP Error: 0.784536302
Interval [166153499473114484112975882535043072.000000000, 332306998946228968225951765070086144.000000000] | Max ULP Error: 0.597285986
Interval [332306998946228968225951765070086144.000000000, 664613997892457936451903530140172288.000000000] | Max ULP Error: 0.600532472
Interval [664613997892457936451903530140172288.000000000, 1329227995784915872903807060280344576.000000000] | Max ULP Error: 0.787782788
Interval [1329227995784915872903807060280344576.000000000, 2658455991569831745807614120560689152.000000000] | Max ULP Error: 0.975033164
Interval [2658455991569831745807614120560689152.000000000, 5316911983139663491615228241121378304.000000000] | Max ULP Error: 0.847529829
Interval [5316911983139663491615228241121378304.000000000, 10633823966279326983230456482242756608.000000000] | Max ULP Error: 0.660279512
Interval [10633823966279326983230456482242756608.000000000, 21267647932558653966460912964485513216.000000000] | Max ULP Error: 0.536728621
Interval [21267647932558653966460912964485513216.000000000, 42535295865117307932921825928971026432.000000000] | Max ULP Error: 0.723978996
Interval [42535295865117307932921825928971026432.000000000, 85070591730234615865843651857942052864.000000000] | Max ULP Error: 0.911229312
Interval [85070591730234615865843651857942052864.000000000, 170141183460469231731687303715884105728.000000000] | Max ULP Error: 0.912032783
Interval [170141183460469231731687303715884105728.000000000, inf] | Max ULP Error: 0.000000000
Interval [inf, inf] | Max ULP Error: 0.000000000
