x,logf,std::log,ulp_error
2.2687e-38,-86.679,-86.679,0.872811
2.27458e-38,-86.6764,-86.6764,0.990076
2.28046e-38,-86.6739,-86.6739,0.248328
2.28634e-38,-86.6713,-86.6713,0.619815
2.29221e-38,-86.6687,-86.6687,0.141183
2.29809e-38,-86.6662,-86.6662,0.215225
2.30397e-38,-86.6636,-86.6636,0.412997
2.30985e-38,-86.6611,-86.6611,0.520309
2.31572e-38,-86.6585,-86.6585,0.620874
2.3216e-38,-86.656,-86.656,0.130853
2.32748e-38,-86.6535,-86.6534,0.277348
2.33336e-38,-86.6509,-86.6509,0.849714
2.33923e-38,-86.6484,-86.6484,0.590452
2.34511e-38,-86.6459,-86.6459,0.503735
2.35099e-38,-86.6434,-86.6434,0.406294
2.36274e-38,-86.6384,-86.6384,0.679875
2.3745e-38,-86.6334,-86.6334,0.197766
2.38625e-38,-86.6285,-86.6285,0.0720753
2.39801e-38,-86.6236,-86.6236,0.16122
2.40976e-38,-86.6187,-86.6187,0.899225
2.42152e-38,-86.6138,-86.6138,0.0786075
2.43327e-38,-86.609,-86.609,0.331622
2.44503e-38,-86.6042,-86.6042,0.673787
2.45678e-38,-86.5994,-86.5994,0.0155194
2.46854e-38,-86.5946,-86.5946,0.387848
2.48029e-38,-86.5899,-86.5899,0.702597
2.49205e-38,-86.5851,-86.5851,0.00895601
2.5038e-38,-86.5804,-86.5804,0.166376
2.51556e-38,-86.5757,-86.5757,0.260099
2.52731e-38,-86.5711,-86.5711,0.186726
2.53907e-38,-86.5664,-86.5664,0.97797
2.55082e-38,-86.5618,-86.5618,0.549631
2.56258e-38,-86.5572,-86.5572,0.919279
2.57433e-38,-86.5526,-86.5526,1.04697
2.58609e-38,-86.5481,-86.5481,0.907566
2.59784e-38,-86.5435,-86.5436,0.476287
2.6096e-38,-86.539,-86.539,0.728676
2.62135e-38,-86.5345,-86.5345,0.640612
2.63311e-38,-86.5301,-86.5301,1.1883
2.64486e-38,-86.5256,-86.5256,0.348245
2.65662e-38,-86.5212,-86.5212,0.0972908
2.66837e-38,-86.5168,-86.5168,0.412572
2.68013e-38,-86.5124,-86.5124,0.271529
2.69188e-38,-86.508,-86.508,0.651896
2.70364e-38,-86.5036,-86.5036,0.531701
2.71539e-38,-86.4993,-86.4993,0.889256
2.72715e-38,-86.495,-86.495,0.296845
2.7389e-38,-86.4907,-86.4907,0.952268
2.75066e-38,-86.4864,-86.4864,0.602383
2.76241e-38,-86.4821,-86.4821,0.672972
2.77417e-38,-86.4779,-86.4779,1.0904
2.78592e-38,-86.4736,-86.4737,0.887673
2.79768e-38,-86.4694,-86.4694,0.99212
2.80943e-38,-86.4652,-86.4653,0.436806
2.82119e-38,-86.4611,-86.4611,0.149994
2.83294e-38,-86.4569,-86.4569,0.164795
2.8447e-38,-86.4528,-86.4528,0.410387
2.85645e-38,-86.4486,-86.4487,0.90706
2.86821e-38,-86.4445,-86.4445,0.376537
2.87996e-38,-86.4405,-86.4405,0.541439
2.89172e-38,-86.4364,-86.4364,0.643052
2.90347e-38,-86.4323,-86.4323,0.0894144
2.91523e-38,-86.4283,-86.4283,0.326537
2.92698e-38,-86.4243,-86.4243,0.126385
2.93874e-38,-86.4202,-86.4203,0.534736
2.95049e-38,-86.4163,-86.4163,0.293022
2.96225e-38,-86.4123,-86.4123,1.1318
2.974e-38,-86.4083,-86.4083,0.034578
2.98576e-38,-86.4044,-86.4044,0.0149158
2.99751e-38,-86.4004,-86.4005,0.967222
3.00927e-38,-86.3965,-86.3965,0.0349108
3.02102e-38,-86.3926,-86.3926,0.0370324
3.03278e-38,-86.3888,-86.3888,0.0546765
3.04453e-38,-86.3849,-86.3849,0.896803
3.05629e-38,-86.381,-86.381,0.19777
3.06804e-38,-86.3772,-86.3772,0.365371
3.0798e-38,-86.3734,-86.3734,0.415091
3.09155e-38,-86.3696,-86.3696,0.0811533
3.1033e-38,-86.3658,-86.3658,0.334056
3.11506e-38,-86.362,-86.362,0.107694
3.12682e-38,-86.3582,-86.3582,0.427748
3.13857e-38,-86.3545,-86.3545,0.600263
3.15032e-38,-86.3507,-86.3507,0.388612
3.16208e-38,-86.347,-86.347,0.447427
3.17383e-38,-86.3433,-86.3433,1.09484
3.18559e-38,-86.3396,-86.3396,0.540227
3.19734e-38,-86.3359,-86.3359,0.22965
3.2091e-38,-86.3322,-86.3322,0.227892
3.22085e-38,-86.3286,-86.3286,0.532546
3.23261e-38,-86.3249,-86.3249,0.038849
3.24436e-38,-86.3213,-86.3213,0.278344
3.25612e-38,-86.3177,-86.3177,0.238494
3.26787e-38,-86.3141,-86.3141,0.906898
3.27963e-38,-86.3105,-86.3105,0.271288
3.29138e-38,-86.3069,-86.3069,0.319528
3.30314e-38,-86.3034,-86.3034,0.0396125
3.31489e-38,-86.2998,-86.2998,0.419663
3.32665e-38,-86.2963,-86.2963,0.447928
3.3384e-38,-86.2927,-86.2927,1.11278
3.35016e-38,-86.2892,-86.2892,0.402712
3.36191e-38,-86.2857,-86.2857,0.295416
